"ensembl_gene_id","description","external_gene_name","chromosome_name","gene_biotype","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSMUSG00000021025","nuclear factor of kappa light polypeptide gene enhancer in B cells inhibitor, alpha [Source:MGI Symbol;Acc:MGI:104741]","Nfkbia","12","protein_coding",-0.488897441280963,4.49630290792225,-9.38815568399723,5.20380445975324e-14,7.81871620077924e-10,21.536445714663
"ENSMUSG00000034640","TCDD-inducible poly(ADP-ribose) polymerase [Source:MGI Symbol;Acc:MGI:2159210]","Tiparp","3","protein_coding",-0.374882764841373,3.71652801024027,-8.70994914310128,9.01149312752351e-13,6.76988421205204e-09,18.6748443828837
"ENSMUSG00000020108","DNA-damage-inducible transcript 4 [Source:MGI Symbol;Acc:MGI:1921997]","Ddit4","10","protein_coding",-0.405660571528741,5.97161677239772,-8.13557506251946,1.04495325805418e-11,5.23347423408804e-08,16.4099595005865
"ENSMUSG00000020893","period circadian clock 1 [Source:MGI Symbol;Acc:MGI:1098283]","Per1","11","protein_coding",-0.41566012597398,6.8387879594578,-7.79174451509927,4.51715789359662e-11,1.37245732498394e-07,14.977589268233
"ENSMUSG00000044712","solute carrier family 38, member 6 [Source:MGI Symbol;Acc:MGI:3648156]","Slc38a6","12","protein_coding",-0.294200032010554,3.16718088471358,-7.7838831803832,4.56724567382341e-11,1.37245732498394e-07,14.8709579597682
"ENSMUSG00000055148","Kruppel-like factor 2 (lung) [Source:MGI Symbol;Acc:MGI:1342772]","Klf2","8","protein_coding",-0.646458562603575,3.6044036884968,-7.61714254615967,9.55149908890476e-11,2.39185456351323e-07,14.2439692750586
"ENSMUSG00000021250","FBJ osteosarcoma oncogene [Source:MGI Symbol;Acc:MGI:95574]","Fos","12","protein_coding",-0.973052756968332,3.52475385077851,-7.22720191892951,4.93831328136084e-10,1.05997367217781e-06,12.6870708329804
"ENSMUSG00000036151","transmembrane 6 superfamily member 2 [Source:MGI Symbol;Acc:MGI:1933210]","Tm6sf2","8","protein_coding",-0.608800770782262,1.62312261173401,-7.01522367040193,1.17181155444164e-09,2.2008085756857e-06,11.1409694231554
"ENSMUSG00000040287","SH3 and cysteine rich domain 3 [Source:MGI Symbol;Acc:MGI:3606571]","Stac3","10","protein_coding",-0.536960315387196,1.59348602731813,-6.91634955707676,1.77389681961806e-09,2.96142219052904e-06,11.0173095533382
"ENSMUSG00000024042","salt inducible kinase 1 [Source:MGI Symbol;Acc:MGI:104754]","Sik1","17","protein_coding",-0.576689390740331,3.7750703144137,-6.83484999320238,2.55431859263882e-09,3.83786368543983e-06,11.1068541968997
"ENSMUSG00000026034","CDC-like kinase 1 [Source:MGI Symbol;Acc:MGI:107403]","Clk1","1","protein_coding",-0.250092199185278,6.43272841732429,-6.76105892071707,3.3958375302805e-09,4.63840535386041e-06,10.7581327835437
"ENSMUSG00000056592","zinc finger protein 658 [Source:MGI Symbol;Acc:MGI:2652821]","Zfp658","7","protein_coding",-0.241789237201687,2.95251156092028,-6.57869541638206,7.25615407056234e-09,8.75023423826125e-06,10.0326494861349
"ENSMUSG00000037868","early growth response 2 [Source:MGI Symbol;Acc:MGI:95296]","Egr2","10","protein_coding",-1.69164831701451,-2.81596238664226,-6.56846877807164,7.57091814292154e-09,8.75023423826125e-06,5.13655777496578
